TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
Взрывной эффект Томоса: Поражение Церкви и Русского мира,"взрывн,эффект,томос,поражен,церков,русск,мир",поражен (0.796;0.779;0.533) ,0.796,0.779,0.533
Владимир Громов: Украинские политики пять лет воюют со своим народом,"владимир,гром,украинск,политик,пят,год,воева,сво,народ",гром (0.195;0.692;0.530) ,0.195,0.692,0.53
Клоуны у власти - беда Украины,"клоун,власт,бед,украин","клоун (0.650;0.598;0.300) ,бед (0.135;0.811;0.452) ",0.393,0.705,0.376
Владимир Громов: Украинские политики пять лет воюют со своим народом,"владимир,гром,украинск,политик,пят,год,воева,сво,народ",гром (0.195;0.692;0.530) ,0.195,0.692,0.53
"Опять томосятина! Торчащая грудь жены Порошенко стала ""гвоздём программы автофекалии""","томосятин,торча,груд,жен,порошенк,станов,гвозд,м,программ,автофекал","торча (0.453;0.537;0.434) ,груд (0.753;0.429;0.500) ,жен (0.809;0.736;0.527) ",0.672,0.567,0.487
"Раскольник Филарет называл томос из Константинополя ""рабством""","раскольник,филарет,называ,томос,константинопол,рабств",рабств (0.052;0.783;0.218) ,0.052,0.783,0.218
Бортник: На признание украинской автокефалии уйдут десятилетия,"бортник,признан,украинск,автокефал,уход,десятилет","признан (0.469;0.642;0.460) ,уход (0.500;0.760;0.368) ",0.484,0.701,0.414
"Раскольник Филарет в 2012 году называл ""томос"" об автокефалии рабством","раскольник,филарет,год,называ,томос,автокефал,рабств",рабств (0.052;0.783;0.218) ,0.052,0.783,0.218
На заправках ДНР снизилась цена на газ,"заправк,днр,снижа,цен,газ",газ (0.396;0.408;0.519) ,0.396,0.408,0.519
"На КПВВ ""Майорск"" у Горловки в один день умерли трое мужчин","кпвв,майорск,горловк,ден,умира,тро,мужчин",умира (0.040;0.664;0.422) ,0.04,0.664,0.422
"ВСУ обстреляли рабочих КП ""Вода Донбасса"": трое получили ранения различной тяжести","всу,обстрелива,рабоч,кп,вод,донбасс,тро,получа,ранен,различн,тяжест",ранен (0.115;0.770;0.275) ,0.115,0.77,0.275
В ДНР за выброс снега с тротуара на дорогу предусмотрен штраф,"днр,выброс,снег,тротуар,дорог,предусматрива,штраф",штраф (0.062;0.490;0.240) ,0.062,0.49,0.24
Холодомор. На Украине более 1000 человек пострадали от обморожений,"холодомор,украин,человек,пострада,обморожен",пострада (0.083;0.680;0.302) ,0.083,0.68,0.302
"Раскольник Филарет называл томос из Константинополя ""рабством""","раскольник,филарет,называ,томос,константинопол,рабств",рабств (0.052;0.783;0.218) ,0.052,0.783,0.218
"Опять томосятина! Торчащая грудь жены Порошенко стала ""гвоздём программы автофекалии"" (ФОТО)","томосятин,торча,груд,жен,порошенк,станов,гвозд,м,программ,автофекал,фот","торча (0.453;0.537;0.434) ,груд (0.753;0.429;0.500) ,жен (0.809;0.736;0.527) ",0.672,0.567,0.487
"Украина получила Томос, но плата за него будет слишком велика: Россия готовится ввести войска — эксперт","украин,получа,томос,плат,слишк,больш,росс,готов,ввод,войск,эксперт",готов (0.847;0.500;0.412) ,0.847,0.5,0.412
"Предстоятель Кипрской православной церкви отказался признавать новую украинскую ""церковь""","предстоятел,кипрск,православн,церков,отказыва,признава,нов,украинск,церков","отказыва (0.235;0.509;0.321) ,нов (0.917;0.490;0.582) ",0.576,0.499,0.452
"Бурджанадзе призвала Грузию не признавать автокефалию ""новой церкви"" Украины","бурджанадз,призыва,груз,признава,автокефал,нов,церков,украин","груз (0.302;0.557;0.538) ,нов (0.917;0.490;0.582) ",0.61,0.524,0.56
От Симоненко до Кошулинского. Расколотые фланги политического спектра Украины,"симоненк,кошулинск,раскалыва,фланг,политическ,спектр,украин","раскалыва (0.296;0.545;0.389) ,спектр (0.312;0.700;0.527) ",0.304,0.623,0.458
Синод Греческой церкви отказался признавать украинских раскольников,"синод,греческ,церков,отказыва,признава,украинск,раскольник",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
ПОСЛЕДНИЕ СВОДКИ — 08.01.2019 (ОБНОВЛЯЕТСЯ!),"последн,сводк,обновля",обновля (0.656;0.633;0.541) ,0.656,0.633,0.541
Получать Томос вместе с Порошенко поехал глава радикальной группировки С-14 Евгений Карась,"получа,томос,вмест,порошенк,поеха,глав,радикальн,группировк,евген,кар",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Что же строят дьяволы в рясах на могилах церковного кладбища Луцка?,"стро,дьявол,ряс,мог,церковн,кладбищ,луцк",кладбищ (0.051;0.630;0.417) ,0.051,0.63,0.417
Украина намерена навсегда запретить въезд в страну мужчинам из России,"украин,намер,навсегд,запреща,въезд,стран,мужчин,росс","навсегд (0.677;0.450;0.403) ,запреща (0.115;0.430;0.269) ",0.396,0.44,0.336
Подчиненный Наева открыл заводик для подпольной добычи нефти на Донбассе,"подчинен,наев,открыва,заводик,подпольн,добыч,нефт,донбасс","подчинен (0.354;0.408;0.539) ,открыва (0.439;0.442;0.562) ",0.396,0.425,0.55
Шоумен Зеленский попросил украинцев составить ему предвыборную программу (Видео),"шоум,зеленск,попрос,украинец,составля,предвыборн,программ,виде",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
"Раскольники из ""ПЦУ"" подтвердили отправку ""томоса"" в Стамбул","раскольник,пцу,подтвержда,отправк,томос,стамбул",отправк (0.317;0.417;0.555) ,0.317,0.417,0.555
"Голодным украинцам томос не нужен: ""перемоги"" Порошенко не спасают страну от нищеты","голодн,украинец,томос,нужн,перемога,порошенк,спаса,стран,нищет",голодн (0.083;0.690;0.254) ,0.083,0.69,0.254
Минкульт Украины опроверг информацию о возврате томоса в Стамбул - СМИ,"минкульт,украин,опроверга,информац,возврат,томос,стамбул,сми",возврат (0.541;0.528;0.430) ,0.541,0.528,0.43
Украинский депутат Бойко раскритиковал вмешательство Порошенко в дела церкви,"украинск,депутат,бойк,раскритиковыва,вмешательств,порошенк,дел,церков",бойк (0.438;0.433;0.381) ,0.438,0.433,0.381
"Украинские раскольники открыли временный сайт ""ПЦУ""","украинск,раскольник,открыва,времен,сайт,пцу","открыва (0.439;0.442;0.562) ,времен (0.570;0.470;0.461) ",0.504,0.456,0.512
"Порошенко призвал сограждан ""помолиться за ПЦУ"" на Софийской площади Киева","порошенк,призыва,согражданин,помол,пцу,софийск,площад,ки","площад (0.741;0.450;0.528) ,ки (0.521;0.433;0.484) ",0.631,0.442,0.506
Савченко назвала съезд украинских раскольников частью предвыборной кампании Порошенко,"савченк,называ,съезд,украинск,раскольник,част,предвыборн,кампан,порошенк",част (0.594;0.481;0.525) ,0.594,0.481,0.525
Томос для Украины вернут в Стамбул из-за нехватки официальных подписей,"томос,украин,вернут,стамбул,нехватк,официальн,подп","вернут (0.602;0.412;0.463) ,нехватк (0.094;0.455;0.198) ",0.348,0.433,0.331
Порошенко: Варфоломея невозможно подкупить,"порошенк,варфолом,невозможн,подкупа",невозможн (0.170;0.625;0.306) ,0.17,0.625,0.306
РФ воспользуется решением о независимости украинской церкви для провокаций — руководитель МИД Украины,"рф,воспользова,решен,независим,украинск,церков,провокац,руководител,мид,украин",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
Пользователи сети высмеяли новое название украинской раскольнической церкви,"пользовател,сет,высмеива,нов,назван,украинск,раскольническ,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Русская церковь в Канаде назвала передачу ""томоса"" украинским раскольникам беззаконием","русск,церков,канад,называ,передач,томос,украинск,раскольник,беззакон","передач (0.615;0.520;0.455) ,беззакон (0.219;0.567;0.425) ",0.417,0.543,0.44
"Киевский журналист обнаружил в тексте ""томоса"" грубую ошибку","киевск,журналист,обнаружива,текст,томос,груб,ошибк","груб (0.333;0.481;0.481) ,ошибк (0.286;0.500;0.246) ",0.309,0.49,0.363
Эпический провал Порошенко: Томос отзывают в Стамбул,"эпическ,прова,порошенк,томос,отзыва,стамбул",прова (0.125;0.490;0.268) ,0.125,0.49,0.268
Томос для Украины вернут в Стамбул из-за нехватки официальных подписей,"томос,украин,вернут,стамбул,нехватк,официальн,подп","вернут (0.602;0.412;0.463) ,нехватк (0.094;0.455;0.198) ",0.348,0.433,0.331
Порошенко: Варфоломея невозможно подкупить,"порошенк,варфолом,невозможн,подкупа",невозможн (0.170;0.625;0.306) ,0.17,0.625,0.306
"СЦУ — это не то, что вы подумали: название новой ""церкви"" Украины взрывает Сеть (ФОТО","сцу,эт,подума,назван,нов,церков,украин,взрыва,сет,фот",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"В Виннице верующие стали на защиту храма от боевиков ""Правого сектора"" (Видео)","винниц,вер,станов,защит,храм,боевик,прав,сектор,виде","защит (0.663;0.451;0.582) ,прав (0.458;0.473;0.444) ,виде (0.646;0.577;0.427) ",0.589,0.5,0.484
"Порошенко призвал сограждан ""помолиться за ПЦУ"" на Софийской площади Киева","порошенк,призыва,согражданин,помол,пцу,софийск,площад,ки","площад (0.741;0.450;0.528) ,ки (0.521;0.433;0.484) ",0.631,0.442,0.506
Томос раскола. Варфоломей и Порошенко нанесли геополитический удар по Православию (ФОТО),"томос,раскол,варфолом,порошенк,нанос,геополитическ,удар,православ,фот",удар (0.385;0.546;0.463) ,0.385,0.546,0.463
"Киевский журналист обнаружил в тексте ""томоса"" грубую ошибку","киевск,журналист,обнаружива,текст,томос,груб,ошибк","груб (0.333;0.481;0.481) ,ошибк (0.286;0.500;0.246) ",0.309,0.49,0.363
УПЦ отказалась проводить совместные службы с украинскими раскольниками,"упц,отказыва,провод,совместн,служб,украинск,раскольник",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Варфоломей передал лже-томос главарю новой лже-церкви Украины,"варфолом,передава,лже,томос,главар,нов,лже,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
УПЦ отказалась проводить совместные службы с украинскими раскольниками,"упц,отказыва,провод,совместн,служб,украинск,раскольник",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Спикер Рады Парубий пообещал принять закон о переходе канонических храмов УПЦ МП к раскольникам,"спикер,рад,паруб,пообеща,принима,закон,переход,каноническ,храм,упц,мп,раскольник","рад (0.573;0.402;0.358) ,переход (0.605;0.561;0.558) ",0.589,0.482,0.458
Шарий: Украину тянут за ноги в 17-й век,"шар,украин,тянут,ног,й,век",шар (0.360;0.551;0.412) ,0.36,0.551,0.412
"Томос на ваши головы! В момент легализации лже-церкви украинцы увидели в небе ""странное явление""","томос,ваш,голов,момент,легализац,лже,церков,украинец,увидет,неб,стран,явлен",момент (0.604;0.435;0.509) ,0.604,0.435,0.509
"Порошенко и Варфоломей не украдут у православных Рождество: РПЦ назвала томос об автокефалии ""новой"" украинской церкви недействительным","порошенк,варфолом,украст,православн,рождеств,рпц,называ,томос,автокефал,нов,украинск,церков,недействительн","украст (0.021;0.856;0.528) ,нов (0.917;0.490;0.582) ",0.469,0.673,0.555
"Золотарев: Проект ""томос"" был создан на деньги криминальной днепропетровской ""братвы""","золотар,проект,томос,создава,деньг,криминальн,днепропетровск,братв",братв (0.350;0.462;0.350) ,0.35,0.462,0.35
УПЦ МП обвинила Варфоломея в предательстве всех православных тысячелетних канонов,"упц,мп,обвиня,варфолом,предательств,ве,православн,тысячелетн,канон","обвиня (0.133;0.752;0.500) ,предательств (0.083;0.719;0.418) ,канон (0.385;0.519;0.541) ",0.2,0.663,0.486
"Религиозный нацизм: Поклонская рассказала о последствиях предоставления ""томоса"" украинским раскольникам","религиозн,нацизм,поклонск,рассказыва,последств,предоставлен,томос,украинск,раскольник",последств (0.470;0.578;0.379) ,0.47,0.578,0.379
Спикер Рады Парубий пообещал принять закон о переходе канонических храмов УПЦ МП к раскольникам,"спикер,рад,паруб,пообеща,принима,закон,переход,каноническ,храм,упц,мп,раскольник","рад (0.573;0.402;0.358) ,переход (0.605;0.561;0.558) ",0.589,0.482,0.458
"СЦУ - это не то, что вы подумали: Название новой церкви Украины взорвало Сеть","сцу,эт,подума,назван,нов,церков,украин,взрыва,сет",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Радикалы готовят провокации возле собора в Чернигове - УПЦ,"радика,готов,провокац,возл,собор,черниг,упц",готов (0.847;0.500;0.412) ,0.847,0.5,0.412
ВСУ расстреляли собственных диверсантов,"всу,расстрелива,собствен,диверсант",диверсант (0.250;0.804;0.407) ,0.25,0.804,0.407
УПЦ: Предоставление автокефалии украинским раскольникам нарушает все апостольские правила,"упц,предоставлен,автокефал,украинск,раскольник,наруша,ве,апостольск,прав","наруша (0.357;0.618;0.472) ,прав (0.458;0.473;0.444) ",0.407,0.545,0.458
В посольстве Украины в Вашингтоне чуть галушкой не подавились,"посольств,украин,вашингтон,галушк,подав",подав (0.229;0.731;0.193) ,0.229,0.731,0.193
Украинская таможня задержала тираж рождественского послания патриарха Кирилла — РПЦ,"украинск,таможн,задержива,тираж,рождественск,послан,патриарх,кирилл,рпц","задержива (0.188;0.490;0.216) ,послан (0.604;0.417;0.535) ",0.396,0.454,0.376
"Варфоломей нанес вред ""митрополиту"" Епифанию –Польская Православная Церковь","варфолом,нанос,вред,митропол,епифан,польск,православн,церков",вред (0.250;0.794;0.480) ,0.25,0.794,0.48
"Глава украинских раскольников Епифаний призвал православных переходить в ""ПЦУ""","глав,украинск,раскольник,епифан,призыва,православн,переход,пцу","глав (0.550;0.410;0.345) ,переход (0.605;0.561;0.558) ",0.578,0.486,0.452
СМИ: Киев готовит захват Киево-Печерской Лавры,"сми,ки,готов,захват,киев,печерск,лавр","ки (0.521;0.433;0.484) ,готов (0.847;0.500;0.412) ,захват (0.357;0.650;0.537) ",0.575,0.528,0.478
НЕЛЬЗЯ ЗАМОЧИТЬ КЛОУНА,"замачива,клоун",клоун (0.650;0.598;0.300) ,0.65,0.598,0.3
Автокефалия или подчинение Варфоломею — ПЦУ в ожидании томоса,"автокефал,подчинен,варфолом,пцу,ожидан,томос","подчинен (0.354;0.408;0.539) ,ожидан (0.581;0.622;0.558) ",0.467,0.515,0.548
Автокефалия или подчинение Варфоломею — ПЦУ в ожидании Томоса,"автокефал,подчинен,варфолом,пцу,ожидан,томос","подчинен (0.354;0.408;0.539) ,ожидан (0.581;0.622;0.558) ",0.467,0.515,0.548
"Глава украинских раскольников Епифаний призвал православных переходить в ""ПЦУ""","глав,украинск,раскольник,епифан,призыва,православн,переход,пцу","глав (0.550;0.410;0.345) ,переход (0.605;0.561;0.558) ",0.578,0.486,0.452
Аваков: Украинская автокефалия может стать дестабилизирующим фактором перед выборами,"авак,украинск,автокефал,моч,станов,дестабилизир,фактор,выбор",моч (0.449;0.529;0.391) ,0.449,0.529,0.391
"Порошенко с главой раскольников Епифанием отправится в ""томос-тур"" по Украине","порошенк,глав,раскольник,епифан,отправля,томос,тур,украин","глав (0.550;0.410;0.345) ,тур (0.663;0.545;0.543) ",0.607,0.478,0.444
"На Западной Украине православные храмы присоединяются к раскольникам из ""ПЦУ""","западн,украин,православн,храм,присоединя,раскольник,пцу","западн (0.177;0.775;0.508) ,присоединя (0.698;0.510;0.537) ",0.438,0.643,0.522
Томос-тур по 17 областям: Епифаний отправляется агитировать за Порошенко,"томос,тур,област,епифан,отправля,агитирова,порошенк","тур (0.663;0.545;0.543) ,агитирова (0.300;0.796;0.593) ",0.482,0.671,0.568
"На Западной Украине православные храмы присоединяются к раскольникам из ""ПЦУ""","западн,украин,православн,храм,присоединя,раскольник,пцу","западн (0.177;0.775;0.508) ,присоединя (0.698;0.510;0.537) ",0.438,0.643,0.522
"Порошенко с главой раскольников Епифанием отправится в ""томос-тур"" по Украине","порошенк,глав,раскольник,епифан,отправля,томос,тур,украин","глав (0.550;0.410;0.345) ,тур (0.663;0.545;0.543) ",0.607,0.478,0.444
"Алексей Селиванов: Выдача паспортов РФ жителям Донбасса и Украины навсегда закроет тему ""русско-украинской войны""","алекс,селиван,выдач,паспорт,рф,жител,донбасс,украин,навсегд,закрыва,тем,русск,украинск,войн","выдач (0.229;0.627;0.554) ,навсегд (0.677;0.450;0.403) ,закрыва (0.385;0.456;0.475) ",0.43,0.511,0.477
"Алексей Селиванов: Выдача паспортов РФ жителям Донбасса и Украины навсегда закроет тему ""русско-украинской войны""","алекс,селиван,выдач,паспорт,рф,жител,донбасс,украин,навсегд,закрыва,тем,русск,украинск,войн","выдач (0.229;0.627;0.554) ,навсегд (0.677;0.450;0.403) ,закрыва (0.385;0.456;0.475) ",0.43,0.511,0.477
Адский Томос Порошенко и Варфоломея на Рождество,"адск,томос,порошенк,варфолом,рождеств",адск (0.125;0.860;0.545) ,0.125,0.86,0.545
Православный мир и Украина: Мрачные перспективы и последние надежды,"православн,мир,украин,мрачн,перспектив,последн,надежд",мрачн (0.204;0.427;0.272) ,0.204,0.427,0.272
"ЕДИНСТВЕННЫЙ РЕАЛЬНЫЙ ШАНС ПРОДЛИТЬ ""ПОЛЕТ ""БОИНГА""","единствен,реальн,шанс,продля,полет,боинг",шанс (0.833;0.551;0.525) ,0.833,0.551,0.525
Филарет: Если бы я стал главой ПЦУ,"филарет,станов,глав,пцу",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Россия предостерегла власти Украины от насилия в отношении канонических православных,"росс,предостерега,власт,украин,насил,отношен,каноническ,православн",предостерега (0.510;0.541;0.519) ,0.51,0.541,0.519
ПОСЛЕДНИЕ СВОДКИ — 23.12.2018 (ОБНОВЛЯЕТСЯ!),"последн,сводк,обновля",обновля (0.656;0.633;0.541) ,0.656,0.633,0.541
Каноническая УПЦ МП отвергла требование властей Украины сменить свое название,"каноническ,упц,мп,отверга,требован,власт,украин,смен,сво,назван","отверга (0.083;0.637;0.422) ,смен (0.490;0.480;0.528) ",0.286,0.558,0.475
"Томос вместо тепла и хлеба — названы причины ""инфраструктурной смерти"" Украины","томос,вмест,тепл,хлеб,называ,причин,инфраструктурн,смерт,украин",смерт (0.031;0.720;0.472) ,0.031,0.72,0.472
СМИ: Порошенко пообещал Варфоломею 38 церквей в обмен на томос,"сми,порошенк,пообеща,варфолом,церков,обм,томос",обм (0.740;0.569;0.491) ,0.74,0.569,0.491
Митрополит Луцкий и Волынский Михаил: Филарет и Порошенко шантажом заставили других кадидатов сняться с выборов главы ПЦУ,"митропол,луцк,волынск,миха,филарет,порошенк,шантаж,заставля,кадидат,снима,выбор,глав,пцу",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Осквернённый собор Киева,"оскверн,нны,собор,ки",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Оскверненный собор Киева,"оскверня,собор,ки","оскверня (0.255;0.806;0.509) ,ки (0.521;0.433;0.484) ",0.388,0.62,0.496
Мы должны вернуть оккупированный Крым и Донбасс — новоизбранный глава ПЦУ Епифаний,"должн,вернут,оккупирова,крым,донбасс,новоизбра,глав,пцу,епифан","вернут (0.602;0.412;0.463) ,оккупирова (0.396;0.520;0.589) ,глав (0.550;0.410;0.345) ",0.516,0.447,0.466
"В РПЦ оценили избрание в Киеве главы ""новой церкви на Украине""","рпц,оценива,избран,ки,глав,нов,церков,украин","ки (0.521;0.433;0.484) ,глав (0.550;0.410;0.345) ,нов (0.917;0.490;0.582) ",0.663,0.444,0.47
"УПЦ отказалась признать созданную на ""объединительном соборе"" церковь","упц,отказыва,признава,создава,объединительн,собор,церков",отказыва (0.235;0.509;0.321) ,0.235,0.509,0.321
Поместный собор в Киеве закончился поражением Порошенко,"поместн,собор,ки,заканчива,поражен,порошенк","ки (0.521;0.433;0.484) ,поражен (0.796;0.779;0.533) ",0.659,0.606,0.508
ПОСЛЕДНИЕ СВОДКИ — 16.12.2018 (ОБНОВЛЯЕТСЯ!),"последн,сводк,обновля",обновля (0.656;0.633;0.541) ,0.656,0.633,0.541
В Киеве начал работу объединительный собор || Главное от ANNA NEWS на вечер 15 декабря 2018,"ки,начина,работ,объединительн,собор,главн,anna,news,вечер,декабр","ки (0.521;0.433;0.484) ,начина (0.490;0.480;0.387) ,декабр (0.740;0.540;0.464) ",0.584,0.484,0.445
"Провал Порошенко и Варфоломея: ""объединительный собор"" родил церковную мышь","прова,порошенк,варфолом,объединительн,собор,рожа,церковн,мыш","прова (0.125;0.490;0.268) ,мыш (0.427;0.441;0.206) ",0.276,0.466,0.237
Главарём новой псевдоправославной секты Порошенко стал такой же сектант из банды Денисенко,"главар,м,нов,псевдоправославн,сект,порошенк,станов,сектант,банд,денисенк","нов (0.917;0.490;0.582) ,сект (0.265;0.667;0.526) ,сектант (0.260;0.606;0.517) ,банд (0.094;0.796;0.567) ",0.384,0.64,0.548
"Украинские раскольники выбрали главу ""новой церкви""","украинск,раскольник,выбира,глав,нов,церков","выбира (0.510;0.471;0.345) ,глав (0.550;0.410;0.345) ,нов (0.917;0.490;0.582) ",0.659,0.457,0.424
Объединительный собор: Людей из райцентров принудительно привезли в Киев на митинг,"объединительн,собор,человек,райцентр,принудительн,привоз,ки,митинг","принудительн (0.180;0.721;0.458) ,ки (0.521;0.433;0.484) ",0.351,0.577,0.471
Эксперт: Это провал. Никто из Православных церквей не прислал поздравления Украине,"эксперт,эт,прова,никт,православн,церков,присыла,поздравлен,украин",прова (0.125;0.490;0.268) ,0.125,0.49,0.268
"На ""майдане за томос"" разливают горячее вино и продают печенье","майда,томос,разлива,горяч,вин,продава,печен","горяч (0.490;0.740;0.573) ,вин (0.115;0.640;0.309) ",0.302,0.69,0.441
"Провал Порошенко и Варфоломея: ""объединительный собор"" родил церковную мышь","прова,порошенк,варфолом,объединительн,собор,рожа,церковн,мыш","прова (0.125;0.490;0.268) ,мыш (0.427;0.441;0.206) ",0.276,0.466,0.237
НЕКУДА БЕЖАТЬ,"некуд,бежа",бежа (0.224;0.639;0.322) ,0.224,0.639,0.322
Почти полмиллиона православных украинцев подписали Декларацию о сопротивлении гнету,"полмиллион,православн,украинец,подписыва,декларац,сопротивлен,гнет",сопротивлен (0.188;0.660;0.518) ,0.188,0.66,0.518
Семейный совет: некуда бежать…,"семейн,совет,некуд,бежа",бежа (0.224;0.639;0.322) ,0.224,0.639,0.322
Хроники смутного времени: На Украине любят ЦРУ,"хроник,смутн,врем,украин,люб,цру","хроник (0.427;0.571;0.586) ,смутн (0.450;0.433;0.230) ",0.439,0.502,0.408
"Украинские раскольники изменили устав ""новой церкви""","украинск,раскольник,изменя,уста,нов,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
ВСЯ СТРАНА ШАГНУЛА В АД ШИРОКОЙ ПОСТУПЬЮ,"ве,стран,шагнут,ад,широк,поступ",ад (0.020;0.918;0.565) ,0.02,0.918,0.565
"Украина ""в положении"": Орден за Томос и штраф за русский язык","украин,положен,орд,томос,штраф,русск,язык","положен (0.450;0.520;0.547) ,штраф (0.062;0.490;0.240) ",0.256,0.505,0.394
"Глава УАПЦ Макарий опасается эксцессов и обострений на ""объединительном соборе""","глав,уапц,макар,опаса,эксцесс,обострен,объединительн,собор","глав (0.550;0.410;0.345) ,макар (0.802;0.601;0.368) ,опаса (0.406;0.592;0.431) ,обострен (0.344;0.810;0.480) ",0.525,0.603,0.406
Андрей Деркач о Томосе. Варфоломей пытается изолировать РПЦ,"андр,деркач,томос,варфолом,пыта,изолирова,рпц",пыта (0.062;0.890;0.361) ,0.062,0.89,0.361
"ПРИМЕТ ЛИ ДОНАЛЬД ""ЖЕРТВУ"" ПОРОШЕНКО?","принима,дональд,жертв,порошенк",жертв (0.208;0.833;0.534) ,0.208,0.833,0.534
Боксер Усик готов защищать Киево-Печерскую лавру от украинских националистов,"боксер,усик,готов,защища,киев,печерск,лавр,украинск,националист","усик (0.470;0.451;0.348) ,готов (0.847;0.500;0.412) ",0.658,0.476,0.38
"Украинские раскольники изменили устав ""новой церкви""","украинск,раскольник,изменя,уста,нов,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Украинский боксер Усик пообещал защитить Киево-Печерскую лавру от автокефальных радикалов,"украинск,боксер,усик,пообеща,защища,киев,печерск,лавр,автокефальн,радика",усик (0.470;0.451;0.348) ,0.47,0.451,0.348
Боксер Усик готов защищать Киево-Печерскую лавру от украинских националистов,"боксер,усик,готов,защища,киев,печерск,лавр,украинск,националист","усик (0.470;0.451;0.348) ,готов (0.847;0.500;0.412) ",0.658,0.476,0.38
Глава пресс-службы УПЦ: Раскольники уже сами не хотят связываться с томосом,"глав,пресс,служб,упц,раскольник,хотет,связыва,томос","глав (0.550;0.410;0.345) ,хотет (0.671;0.642;0.598) ",0.611,0.526,0.471
Впечатление московской журналистки от поездки в Киев (ФОТО),"впечатлен,московск,журналистк,поездк,ки,фот",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
"Незалежная ""в положении"": пустые поезда","незалежн,положен,пуст,поезд",положен (0.450;0.520;0.547) ,0.45,0.52,0.547
Раскол на Украине: посмотреть правде в глаза,"раскол,украин,посмотрет,правд,глаз",посмотрет (0.633;0.588;0.586) ,0.633,0.588,0.586
ДЛЯ ПАЦИЕНТОВ ЖИТОМИРСКОГО ПСИХИАТРИЧЕСКОГО ДИСПАНСЕРА,"пациент,житомирск,психиатрическ,диспансер",психиатрическ (0.210;0.616;0.525) ,0.21,0.616,0.525
СБУ запретили проез Донецкого митрополита,"сбу,запреща,проез,донецк,митропол",запреща (0.115;0.430;0.269) ,0.115,0.43,0.269
"Владимир Малинкович: Тема томоса и ""поместной церкви"" Запад совершенно не интересует","владимир,малинкович,тем,томос,поместн,церков,запад,совершен,интересова",совершен (0.472;0.519;0.582) ,0.472,0.519,0.582
"Нетрадиционные отцы украинской ""поместной церкви""","нетрадицион,отец,украинск,поместн,церков",нетрадицион (0.177;0.509;0.288) ,0.177,0.509,0.288
"РПЦ: Упразднение ""русского экзархата"" в Европе – это уничтожение церковного единства","рпц,упразднен,русск,экзархат,европ,уничтожен,церковн,единств",уничтожен (0.080;0.760;0.324) ,0.08,0.76,0.324
"Запад может ""утопить"" Порошенко и в Азовском море","запад,моч,утаплива,порошенк,азовск,мор","моч (0.449;0.529;0.391) ,мор (0.122;0.660;0.283) ",0.285,0.595,0.337
